관광지명,주소,전화번호,장애인 화장실,엘리베이터,장애인주차구역,이용가능시설,경사로,숙박시설,장애인객실,위도,경도,사진
아리아나호텔,대구시 수성구 동대구로 27 ,053-766-7907,,있음,있음,있음,,있음,,35.83269033,128.6228935,https://velog.velcdn.com/images/optimusprimee/post/af25c747-28af-4b3c-81c3-846513ba7725/image.jpg
인더호텔,대구광역시 동구 동부로26길 56 ,053-746-0107,,있음,있음,있음,,있음,,35.87090026,128.6277279,https://velog.velcdn.com/images/optimusprimee/post/6f735c65-80c2-47b0-a093-4b1316bb3e8d/image.jpg
엘디스리젠트 호텔,대구광역시 중구 달구벌대로 2033 ,053-253-7711,,있음,있음,있음,,있음,,35.8665443,128.5860299,https://velog.velcdn.com/images/optimusprimee/post/24be76d3-2116-48c4-836c-4ba6e21885f1/image.jpg
대구그랜드호텔,대구시 수성구 동대구로305,053-742-0001,,있음,있음,있음,,있음,,35.85766039,128.6251509,https://velog.velcdn.com/images/optimusprimee/post/0d8aa83e-203c-441d-b390-5bb634965596/image.jpg
비슬산자연휴양림 캠핑장,대구광역시 달성군 유가면 휴양림길 230 ,053-659-4400~1,,,,있음,,있음,,35.6966369,128.4889318,https://velog.velcdn.com/images/optimusprimee/post/0ad61491-52af-466e-b396-a8eafa1f208d/image.jpg
엠티라이프모텔,대구시 중구 종로2가 23번지,053-423-1200,,있음,,,,있음,,35.86921836,128.5914115,https://velog.velcdn.com/images/optimusprimee/post/e0a69329-afb5-4378-81b5-0a6a843d13bb/image.jpg
사라,대구광역시 북구 동천로24길 17-11,050-7900-8627,있음,있음,,,,있음,있음,35.94215361,128.5620368,https://velog.velcdn.com/images/optimusprimee/post/cb253a0e-5441-4bbf-b416-68457af7d6c0/image.jpg
팔공산 맥섬석 유스호스텔,대구광역시 동구 갓바위로 223-35,053-985-8000,,있음,있음,,,있음,,35.97316083,128.7269804,https://velog.velcdn.com/images/optimusprimee/post/3a5590b0-58bc-4bae-b3af-234327c81d44/image.jpg
파계오토캠핑장,대구광역시 동구 파계로 707-14 ,053-980-0304,있음,,,,,있음,,35.99301858,128.6369514,https://velog.velcdn.com/images/optimusprimee/post/b71bf677-339c-45fa-af5c-0fb4ec4567bf/image.jpg
도학오토캠핑장,대구광역시 동구 팔공산로237길 47,053-981-8036,있음,,,,,있음,,35.98174058,128.7035882,https://velog.velcdn.com/images/optimusprimee/post/47c02de6-8b68-4521-9620-bb5f6e0c6876/image.jpg
팔공산테마리조트,경북 칠곡군 동명면 한티로 824,054-946-2000,,,,,,있음,,36.01434967,128.6071016,https://velog.velcdn.com/images/optimusprimee/post/ef9f3950-7289-4e94-90f6-522d9bd42f51/image.jpg
팔공산온천관광호텔,대구광역시 동구 팔공산로185길 11 ,053-985-8080,있음,있음,있음,,,있음,,35.99094589,128.6921044,https://velog.velcdn.com/images/optimusprimee/post/bdfa7a73-5302-4e64-9b61-5822c5fd05e2/image.jpg
C1 모텔,대구시 북구 한강로8길 21-2,050-7900-8689,,있음,있음,,,있음,있음,35.8948978,128.5189444,https://velog.velcdn.com/images/optimusprimee/post/430de5ec-e581-43e9-8075-5d27b63145c1/image.jpg
이시아 호텔,대구광역시 동구 팔공로47길 38 ,053-986-7424,,있음,있음,,,있음,,35.9201576,128.636757,https://velog.velcdn.com/images/optimusprimee/post/fed53a7d-1a9e-44af-861f-55539c1b494b/image.jpg
헤라모텔,대구광역시 동구 신암남로 136,053-958-2200,,있음,있음,,,있음,있음,35.88153792,128.6303256,https://velog.velcdn.com/images/optimusprimee/post/231d8be6-bed7-4e41-bbe5-43c3a1aa3866/image.jpg
칸 모텔,대구광역시 동구 신암남로24길 17-14 ,050-7900-8601,,있음,있음,,,있음,있음,35.88157191,128.6312666,https://velog.velcdn.com/images/optimusprimee/post/09e95567-2438-4d00-9761-f6e9836753db/image.jpg
폭스모텔,대구광역시 수성구 청수로 126-36,050-7900-8680,,있음,,,,있음,있음,35.83812759,128.6215968,https://velog.velcdn.com/images/optimusprimee/post/8b7f57c5-c2ed-43e5-b66c-c3ffeb406870/image.jpg
엠투고모텔,대구광역시 수성구 청수로26길 62,050-7900-8640,,있음,,,,있음,있음,35.8386212,128.6222759,https://velog.velcdn.com/images/optimusprimee/post/f3accbda-3fe8-4e4d-837b-aae54bdc39a0/image.jpg
비슬산자연휴양림,대구광역시 달성군 유가면 휴양림길 230,053-614-5481~2,,,,,,있음,,35.6966369,128.4889318,https://velog.velcdn.com/images/optimusprimee/post/4ac2048e-0c4c-4419-9ba4-96680ead3c8f/image.jpg
화원자연휴양림,대구광역시 달성군 화원읍 화원휴양림길 126,053-634-7460,,,,,,있음,,35.77179173,128.5367385,https://velog.velcdn.com/images/optimusprimee/post/819f374f-4689-4ae9-9304-17314b44281e/image.jpg
호텔 인터불고,대구광역시 수성구 팔현길 212,053-602-7114,있음,있음,있음,,,있음,있음,35.87439565,128.6596571,https://velog.velcdn.com/images/optimusprimee/post/cb9e5100-4314-4ad2-8db8-28fbf0c4c571/image.jpg
엠티라이프,대구광역시 중구 종로 37,050-7900-8653,,있음,,,,있음,,35.86920701,128.5914796,https://velog.velcdn.com/images/optimusprimee/post/f1c59a8e-5aae-495b-8b5f-e22f3d141a60/image.jpg
에오스 호텔,대구광역시 중구 중앙대로81길 22,"053-422-8087, 070-7626-2520",,있음,있음,,있음,있음,있음,35.86988372,128.5923666,https://velog.velcdn.com/images/optimusprimee/post/c745a108-674e-4a48-b70b-a92a7c591034/image.jpg
오아시스,대구광역시 수성구 청수로26길 26,053-763-1007,,있음,,,,있음,있음,35.83861575,128.6222369,https://velog.velcdn.com/images/optimusprimee/post/058866ec-a2ce-4a05-b155-63a36d3f3962/image.jpg
꾸띠,대구광역시 수성구 상화로 131-7,053-7900-8654,,있음,,,,있음,있음,35.8349409,128.6152099,https://velog.velcdn.com/images/optimusprimee/post/67b62e04-b38e-4572-b1e1-86883c1b3e7d/image.jpg
MTM 모텔,대구광역시 중구 공평로8길 30-6,053-7962-0507,,있음,있음,,,있음,있음,35.86642406,128.6012052,https://velog.velcdn.com/images/optimusprimee/post/baf24ab4-1cec-4716-b9cd-1c2c01beca85/image.jpg
히로텔,대구광역시 중구 국채보상로 657-12,053-421-8988,,있음,,,,있음,,35.87004056,128.6030872,https://velog.velcdn.com/images/optimusprimee/post/e8bc7e5a-bb07-4518-b845-8e597e9d200a/image.jpg
사보이 호텔,대구광역시 중구 종로 76,053-253-8021,,있음,,,,있음,,35.87261353,128.5911175,https://velog.velcdn.com/images/optimusprimee/post/dd483381-08a2-44b7-b2d1-91c2d5e3202c/image.jpg
